Id,Category
0,0
1,10
2,5
3,2
4,7
5,3
6,1
7,10
8,3
9,2
10,2
11,0
12,1
13,10
14,8
15,4
16,9
17,4
18,0
19,9
20,3
21,2
22,2
23,3
24,9
25,6
26,10
27,3
28,5
29,3
30,2
31,8
32,2
33,1
34,3
35,2
36,9
37,10
38,10
39,2
40,6
41,6
42,6
43,1
44,8
45,1
46,10
47,3
48,10
49,4
50,10
51,1
52,3
53,3
54,0
55,8
56,0
57,9
58,6
59,3
60,5
61,3
62,2
63,3
64,10
65,8
66,1
67,9
68,4
69,10
70,5
71,5
72,5
73,8
74,5
75,7
76,4
77,2
78,2
79,9
80,3
81,3
82,9
83,8
84,6
85,2
86,4
87,4
88,1
89,6
90,2
91,6
92,3
93,8
94,6
95,6
96,1
97,2
98,6
99,10
100,3
101,3
102,1
103,4
104,4
105,2
106,6
107,5
108,9
109,3
110,5
111,2
112,4
113,3
114,9
115,4
116,9
117,5
118,9
119,2
120,8
121,5
122,0
123,5
124,1
125,8
126,5
127,8
128,3
129,9
130,5
131,2
132,3
133,0
134,2
135,4
136,3
137,10
138,3
139,1
140,1
141,3
142,2
143,5
144,1
145,4
146,9
147,5
148,8
149,8
150,4
151,4
152,9
153,2
154,2
155,1
156,2
157,2
158,6
159,1
160,5
161,1
162,5
163,5
164,4
165,3
166,5
167,8
168,3
169,9
170,8
171,2
172,3
173,4
174,3
175,6
176,2
177,8
178,8
179,4
180,1
181,8
182,9
183,3
184,10
185,9
186,10
187,2
188,4
189,4
190,0
191,8
192,3
193,8
194,4
195,5
196,8
197,3
198,0
199,1
200,2
201,2
202,8
203,2
204,1
205,0
206,7
207,0
208,5
209,4
210,8
211,5
212,10
213,2
214,2
215,2
216,10
217,3
218,6
219,5
220,5
221,2
222,2
223,7
224,5
225,5
226,9
227,9
228,6
229,3
230,7
231,2
232,7
233,8
234,3
235,2
236,0
237,10
238,8
239,7
240,5
241,3
242,2
243,4
244,2
245,8
246,3
247,9
248,10
249,5
250,9
251,0
252,4
253,2
254,5
255,2
256,0
257,9
258,3
259,1
260,8
261,8
262,7
263,10
264,1
265,9
266,1
267,3
268,0
269,9
270,4
271,3
272,8
273,4
274,5
275,4
276,4
277,8
278,2
279,2
280,3
281,8
282,2
283,0
284,6
285,6
286,2
287,4
288,3
289,10
290,9
291,4
292,8
293,10
294,3
295,2
296,7
297,6
298,7
299,5
300,2
301,4
302,3
303,1
304,5
305,10
306,8
307,3
308,9
309,3
310,0
311,0
312,2
313,8
314,2
315,3
316,7
317,5
318,5
319,9
320,3
321,2
322,5
323,0
324,4
325,8
326,5
327,6
328,10
329,8
330,8
331,0
332,5
333,4
334,6
335,6
336,3
337,1
338,4
339,10
340,9
341,3
342,5
343,3
344,0
345,6
346,4
347,6
348,4
349,9
350,3
351,3
352,6
353,2
354,7
355,1
356,6
357,10
358,10
359,4
360,8
361,5
362,10
363,3
364,8
365,5
366,4
367,1
368,10
369,3
370,9
371,4
372,1
373,4
374,3
375,2
376,9
377,9
378,2
379,3
380,10
381,4
382,3
383,9
384,4
385,3
386,3
387,5
388,10
389,8
390,10
391,7
392,10
393,8
394,9
395,5
396,8
397,8
398,10
399,1
400,9
401,1
402,9
403,9
404,6
405,3
406,5
407,8
408,2
409,4
410,9
411,7
412,3
413,2
414,3
415,6
416,0
417,6
418,0
419,4
420,5
421,2
422,2
423,10
424,3
425,8
426,6
427,6
428,1
429,2
430,3
431,3
432,6
433,8
434,3
435,2
436,2
437,3
438,2
439,2
440,10
441,2
442,3
443,1
444,5
445,3
446,2
447,10
448,0
449,1
450,6
451,9
452,1
453,2
454,6
455,6
456,6
457,8
458,8
459,10
460,10
461,9
462,10
463,4
464,1
465,2
466,7
467,6
468,9
469,8
470,5
471,3
472,8
473,8
474,9
475,0
476,6
477,2
478,2
479,3
480,8
481,1
482,1
483,1
484,6
485,2
486,8
487,9
488,5
489,4
490,8
491,6
492,7
493,2
494,2
495,2
496,8
497,10
498,5
499,10
500,6
501,1
502,5
503,6
504,0
505,3
506,2
507,8
508,10
509,10
510,2
511,6
512,2
513,4
514,0
515,2
516,9
517,9
518,3
519,3
520,3
521,3
522,7
523,1
524,3
525,2
526,3
527,9
528,6
529,0
530,4
531,2
532,0
533,9
534,7
535,10
536,2
537,6
538,8
539,4
540,2
541,1
542,3
543,3
544,3
545,8
546,0
547,5
548,3
549,6
550,4
551,2
552,2
553,0
554,4
555,3
556,1
557,3
558,8
559,2
560,0
561,1
562,0
563,8
564,0
565,4
566,5
567,9
568,8
569,3
570,2
571,8
572,8
573,5
574,2
575,3
576,8
577,0
578,3
579,3
580,8
581,3
582,2
583,9
584,3
585,6
586,8
587,2
588,6
589,5
590,1
591,10
592,4
593,5
594,2
595,8
596,0
597,1
598,4
599,6
600,5
601,10
602,0
603,6
604,3
605,6
606,9
607,7
608,3
609,8
610,5
611,3
612,4
613,3
614,8
615,10
616,8
617,9
618,0
619,2
620,7
621,3
622,4
623,6
624,0
625,3
626,3
627,5
628,1
629,6
630,3
631,0
632,2
633,3
634,4
635,3
636,9
637,3
638,8
639,3
640,10
641,3
642,9
643,10
644,8
645,0
646,7
647,1
648,5
649,3
650,7
651,10
652,8
653,8
654,1
655,5
656,5
657,5
658,8
659,3
660,6
661,6
662,6
663,6
664,9
665,8
666,3
667,4
668,6
669,4
670,7
671,9
672,2
673,0
674,5
675,5
676,3
677,2
678,2
679,2
680,3
681,3
682,3
683,4
684,8
685,3
686,8
687,2
688,10
689,6
690,2
691,9
692,1
693,5
694,4
695,8
696,6
697,8
698,0
699,9
700,0
701,8
702,10
703,2
704,0
705,10
706,8
707,10
708,1
709,3
710,0
711,8
712,6
713,9
714,6
715,4
716,3
717,6
718,6
719,9
720,10
721,6
722,4
723,10
724,8
725,4
726,10
727,3
728,1
729,1
730,8
731,2
732,2
733,5
734,3
735,1
736,3
737,7
738,2
739,7
740,3
741,3
742,3
743,3
744,5
745,0
746,2
747,2
748,6
749,8
750,4
751,2
752,3
753,5
754,8
755,6
756,8
757,10
758,6
759,10
760,2
761,2
762,3
763,7
764,1
765,3
766,2
767,9
768,5
769,10
770,7
771,4
772,5
773,2
774,3
775,3
776,3
777,5
778,5
779,4
780,4
781,3
782,4
783,5
784,1
785,8
786,0
787,5
788,8
789,10
790,0
791,8
792,7
793,9
794,7
795,4
796,9
797,2
798,0
799,2
800,4
801,1
802,1
803,8
804,0
805,3
806,10
807,8
808,10
809,4
810,6
811,8
812,0
813,5
814,3
815,6
816,5
817,2
818,3
819,10
820,8
821,8
822,9
823,10
824,3
825,3
826,4
827,1
828,9
829,0
830,3
831,3
832,8
833,0
834,1
835,3
836,1
837,0
838,3
839,3
840,4
841,10
842,5
843,3
844,8
845,2
846,3
847,6
848,3
849,0
850,2
851,2
852,0
853,3
854,10
855,10
856,10
857,10
858,0
859,2
860,1
861,0
862,2
863,3
864,3
865,8
866,2
867,10
868,8
869,2
870,1
871,4
872,5
873,6
874,4
875,3
876,8
877,2
878,8
879,10
880,5
881,8
882,9
883,6
884,4
885,8
886,0
887,6
888,5
889,1
890,6
891,8
892,5
893,4
894,7
895,2
896,8
897,5
898,6
899,5
900,6
901,10
902,8
903,3
904,5
905,3
906,7
907,5
908,9
909,3
910,10
911,2
912,4
913,2
914,6
915,3
916,0
917,3
918,9
919,5
920,9
921,4
922,2
923,9
924,3
925,2
926,4
927,3
928,4
929,9
930,9
931,2
932,1
933,4
934,2
935,5
936,1
937,9
938,3
939,8
940,9
941,3
942,3
943,10
944,2
945,10
946,6
947,8
948,6
949,7
950,7
951,4
952,4
953,9
954,0
955,1
956,6
957,6
958,8
959,5
960,2
961,8
962,7
963,10
964,8
965,0
966,4
967,5
968,2
969,4
970,2
971,0
972,2
973,8
974,3
975,2
976,7
977,5
978,1
979,0
980,3
981,6
982,3
983,4
984,3
985,1
986,10
987,2
988,7
989,8
990,5
991,5
992,8
993,6
994,1
995,6
996,6
997,2
998,9
999,4
1000,2
1001,2
1002,10
1003,7
1004,1
1005,6
1006,3
1007,1
1008,0
1009,0
1010,5
1011,0
1012,4
1013,1
1014,0
1015,10
1016,3
1017,5
1018,2
1019,9
1020,5
1021,9
1022,5
1023,8
1024,9
1025,2
1026,10
1027,0
1028,4
1029,8
1030,10
1031,4
1032,7
1033,1
1034,8
1035,6
1036,8
1037,5
1038,5
1039,8
1040,9
1041,8
1042,4
1043,8
1044,6
1045,4
1046,9
1047,5
1048,3
1049,4
1050,3
1051,0
1052,9
1053,5
1054,8
1055,5
1056,0
1057,5
1058,3
1059,9
1060,10
1061,10
1062,5
1063,10
1064,9
1065,3
1066,4
1067,10
1068,4
1069,9
1070,2
1071,6
1072,3
1073,8
1074,10
1075,2
1076,8
1077,5
1078,2
1079,8
1080,1
1081,6
1082,0
1083,9
1084,1
1085,3
1086,7
1087,5
1088,1
1089,0
1090,1
1091,10
1092,1
1093,5
1094,5
1095,1
1096,10
1097,2
1098,3
1099,3
1100,2
1101,1
1102,5
1103,4
1104,6
1105,2
1106,9
1107,10
1108,1
1109,1
1110,8
1111,9
1112,2
1113,8
1114,3
1115,3
1116,9
1117,1
1118,1
1119,3
1120,0
1121,9
1122,6
1123,3
1124,1
1125,2
1126,6
1127,1
1128,8
1129,4
1130,2
1131,10
1132,2
1133,8
1134,8
1135,8
1136,0
1137,9
1138,0
1139,0
1140,0
1141,3
1142,9
1143,2
1144,9
1145,7
1146,8
1147,10
1148,3
1149,10
1150,3
1151,2
1152,1
1153,3
1154,2
1155,9
1156,0
1157,5
1158,2
1159,3
1160,9
1161,5
1162,9
1163,5
1164,3
1165,2
1166,0
1167,5
1168,10
1169,2
1170,6
1171,8
1172,7
1173,2
1174,8
1175,0
1176,10
1177,2
1178,4
1179,4
1180,8
1181,6
1182,1
1183,8
1184,2
1185,6
1186,0
1187,8
1188,6
1189,9
1190,7
1191,2
1192,8
1193,6
1194,10
1195,3
1196,3
1197,3
1198,0
1199,9
1200,1
1201,5
1202,2
1203,3
1204,6
1205,5
1206,8
1207,4
1208,8
1209,3
1210,9
1211,0
1212,3
1213,10
1214,2
1215,1
1216,8
1217,10
1218,6
1219,9
1220,10
1221,5
1222,4
1223,1
1224,4
1225,9
1226,8
1227,6
1228,1
1229,8
1230,3
1231,3
1232,10
1233,3
1234,6
1235,8
1236,4
1237,0
1238,5
1239,9
1240,2
1241,3
1242,8
1243,9
1244,5
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,2
1252,10
1253,2
1254,3
1255,2
1256,4
1257,10
1258,8
1259,1
1260,0
1261,2
1262,1
1263,0
1264,4
1265,9
1266,5
1267,10
1268,2
1269,8
1270,2
1271,2
1272,2
1273,3
1274,2
1275,3
1276,4
1277,10
1278,10
1279,1
1280,1
1281,1
1282,9
1283,5
1284,0
1285,2
1286,1
1287,4
1288,10
1289,7
1290,8
1291,8
1292,2
1293,9
1294,4
1295,0
1296,2
1297,5
1298,9
1299,2
1300,9
1301,8
1302,8
1303,1
1304,0
1305,1
1306,2
1307,1
1308,2
1309,1
1310,5
1311,3
1312,2
1313,4
1314,2
1315,3
1316,6
1317,10
1318,5
1319,10
1320,1
1321,3
1322,3
1323,9
1324,10
1325,2
1326,0
1327,4
1328,6
1329,1
1330,10
1331,6
1332,2
1333,7
1334,5
1335,4
1336,10
1337,1
1338,3
1339,1
1340,2
1341,10
1342,4
1343,10
1344,1
1345,7
1346,8
1347,7
1348,2
1349,7
1350,8
1351,5
1352,8
1353,1
1354,8
1355,3
1356,5
1357,6
1358,1
1359,4
1360,3
1361,6
1362,5
1363,8
1364,10
1365,3
1366,2
1367,2
1368,9
1369,9
1370,8
1371,9
1372,3
1373,3
1374,8
1375,4
1376,10
1377,8
1378,4
1379,8
1380,4
1381,3
1382,8
1383,3
1384,5
1385,4
1386,1
1387,8
1388,9
1389,1
1390,10
1391,3
1392,2
1393,3
1394,8
1395,2
1396,10
1397,2
1398,8
1399,2
1400,8
1401,3
1402,9
1403,8
1404,9
1405,4
1406,3
1407,5
1408,5
1409,2
1410,4
1411,4
1412,6
1413,8
1414,8
1415,2
1416,8
1417,0
1418,3
1419,0
1420,3
1421,2
1422,3
1423,2
1424,10
1425,3
1426,7
1427,0
1428,1
1429,8
1430,9
1431,7
1432,8
1433,3
1434,8
1435,6
1436,5
1437,5
1438,5
1439,1
1440,8
1441,3
1442,8
1443,7
1444,10
1445,8
1446,1
1447,10
1448,4
1449,0
1450,3
1451,4
1452,8
1453,9
1454,3
1455,4
1456,9
1457,3
1458,4
1459,0
1460,2
1461,2
1462,2
1463,5
1464,2
1465,5
1466,1
1467,3
1468,1
1469,3
1470,2
1471,2
1472,2
1473,1
1474,5
1475,6
1476,9
1477,2
1478,6
1479,6
1480,9
1481,3
1482,9
1483,0
1484,6
1485,2
1486,4
1487,3
1488,0
1489,3
1490,2
1491,8
1492,8
1493,1
1494,10
1495,9
1496,1
1497,8
1498,4
1499,10
1500,10
1501,6
1502,8
1503,8
1504,3
1505,4
1506,2
1507,7
1508,8
1509,1
1510,1
1511,10
1512,3
1513,0
1514,5
1515,9
1516,10
1517,5
1518,5
1519,2
1520,5
1521,2
1522,3
1523,0
1524,6
1525,5
1526,4
1527,3
1528,3
1529,4
1530,10
1531,2
1532,3
1533,3
1534,5
1535,3
1536,3
1537,2
1538,2
1539,6
1540,9
1541,6
1542,4
1543,6
1544,6
1545,6
1546,2
1547,2
1548,10
1549,4
1550,2
1551,8
1552,6
1553,1
1554,5
1555,2
1556,7
1557,0
1558,3
1559,9
1560,0
1561,8
1562,3
1563,9
1564,7
1565,6
1566,9
1567,8
1568,1
1569,1
1570,3
1571,8
1572,10
1573,2
1574,10
1575,4
1576,2
1577,3
1578,2
1579,7
1580,9
1581,0
1582,8
1583,0
1584,8
1585,3
1586,6
1587,5
1588,6
1589,2
1590,2
1591,10
1592,9
1593,6
1594,8
1595,4
1596,1
1597,6
1598,3
1599,10
1600,9
1601,4
1602,1
1603,2
1604,8
1605,8
1606,7
1607,3
1608,7
1609,9
1610,4
1611,5
1612,8
1613,1
1614,6
1615,6
1616,3
1617,2
1618,3
1619,3
1620,6
1621,0
1622,2
1623,1
1624,2
1625,2
1626,4
1627,2
1628,10
1629,1
1630,5
1631,0
1632,1
1633,2
1634,8
1635,3
1636,3
1637,3
1638,5
1639,1
1640,3
1641,6
1642,5
1643,2
1644,8
1645,2
1646,2
1647,8
1648,2
1649,8
1650,7
1651,5
1652,3
1653,3
1654,9
1655,3
1656,1
1657,3
1658,5
1659,6
1660,6
1661,4
1662,1
1663,5
1664,5
1665,3
1666,8
1667,0
1668,1
1669,4
1670,4
1671,3
1672,6
1673,6
1674,9
1675,4
1676,5
1677,7
1678,8
1679,3
1680,6
1681,5
1682,6
1683,3
1684,5
1685,5
1686,2
1687,3
1688,8
1689,10
1690,2
1691,1
1692,5
1693,4
1694,5
1695,9
1696,8
1697,2
1698,9
1699,5
1700,5
1701,9
1702,8
1703,4
1704,6
1705,8
1706,7
1707,10
1708,3
1709,6
1710,3
1711,10
1712,5
1713,3
1714,1
1715,3
1716,10
1717,5
1718,3
1719,5
1720,8
1721,5
1722,4
1723,3
1724,1
1725,2
1726,3
1727,10
1728,1
1729,3
1730,1
1731,1
1732,9
1733,2
1734,0
1735,3
1736,0
1737,6
1738,3
1739,8
1740,5
1741,0
1742,9
1743,9
1744,3
1745,0
1746,10
1747,4
1748,2
1749,9
1750,3
1751,4
1752,3
1753,10
1754,6
1755,5
1756,3
1757,7
1758,3
1759,2
1760,8
1761,4
1762,4
1763,6
1764,2
1765,9
1766,3
1767,5
1768,0
1769,8
1770,5
1771,10
1772,3
1773,5
1774,3
1775,8
1776,8
1777,4
1778,8
1779,3
1780,1
1781,8
1782,8
1783,9
1784,4
1785,4
1786,2
1787,8
1788,1
1789,9
1790,8
1791,3
1792,8
1793,6
1794,8
1795,3
1796,5
1797,8
1798,2
1799,1
1800,1
1801,4
1802,4
1803,3
1804,6
1805,3
1806,3
1807,2
1808,9
1809,4
1810,6
1811,4
1812,5
1813,1
1814,6
1815,2
1816,1
1817,3
1818,1
1819,10
1820,9
1821,10
1822,4
1823,0
1824,1
1825,2
1826,1
1827,4
1828,3
1829,5
1830,2
1831,2
1832,6
1833,2
1834,6
1835,1
1836,3
1837,4
1838,6
1839,2
1840,8
1841,2
1842,0
1843,8
1844,5
1845,5
1846,2
1847,8
1848,3
1849,8
1850,8
1851,5
1852,6
1853,4
1854,7
1855,3
1856,6
1857,5
1858,0
1859,6
1860,8
1861,2
1862,0
1863,3
1864,8
1865,2
1866,2
1867,3
1868,1
1869,1
1870,1
1871,5
1872,2
1873,10
1874,0
1875,9
1876,8
1877,3
1878,5
1879,6
1880,3
1881,8
1882,5
1883,3
1884,4
1885,0
1886,9
1887,0
1888,8
1889,1
1890,6
1891,1
1892,9
1893,7
1894,3
1895,0
1896,0
1897,5
1898,4
1899,5
1900,2
1901,3
1902,8
1903,3
1904,8
1905,2
1906,3
1907,5
1908,1
1909,5
1910,10
1911,8
1912,3
1913,2
1914,9
1915,9
1916,5
1917,3
1918,6
1919,8
1920,8
1921,8
1922,10
1923,3
1924,4
1925,8
